timestamp,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
01-08-2023 13:19,28902.48,28902.49,28902.48,28902.49,4.68658,135453.7937,258,0.89391,25836.22484
01-08-2023 13:18,28902.48,28902.49,28902.48,28902.49,4.77589,138035.0877,317,2.24546,64899.3852
01-08-2023 13:17,28908.52,28908.53,28902.48,28902.49,11.52263,333053.1509,451,2.70873,78290.17012
01-08-2023 13:16,28907.41,28912.74,28907.41,28908.53,15.8961,459555.6199,483,10.22981,295738.1669
01-08-2023 13:15,28896,28907.42,28893.03,28907.41,37.74657,1090760.522,686,16.50452,476955.2466
01-08-2023 13:14,28890.4,28896,28890.39,28895.99,9.88869,285717.3171,389,5.46417,157873.6307
01-08-2023 13:13,28889.63,28890.4,28889.63,28890.39,17.87871,516515.8925,266,16.19349,467829.8917
01-08-2023 13:12,28881.54,28889.64,28881.53,28889.64,13.48153,389423.4833,500,11.58691,334697.0399
01-08-2023 13:11,28876,28881.54,28875.99,28881.54,6.85924,198082.9342,274,5.93315,171339.6276
01-08-2023 13:10,28872.48,28876,28870,28876,10.75734,310587.1783,381,7.87944,227495.1658
01-08-2023 13:09,28874.35,28874.35,28872.48,28872.48,6.40203,184852.8935,188,2.20741,63736.97484
01-08-2023 13:08,28872.24,28874.35,28872.24,28874.34,7.09072,204726.8235,346,6.64285,191795.7106
01-08-2023 13:07,28878,28878.01,28872.24,28872.25,7.06678,204058.1866,293,1.75256,50602.821
01-08-2023 13:06,28878.01,28878.01,28878,28878,1.8852,54440.81875,148,1.31474,37967.07487
01-08-2023 13:05,28882.9,28887.1,28878,28878,18.24102,526883.1116,497,3.75948,108588.0361
01-08-2023 13:04,28868.34,28882.9,28864,28882.89,37.51472,1083149.07,828,32.16039,928584.4681
01-08-2023 13:03,28875,28875.01,28868.33,28868.34,12.935,373456.9134,347,2.60575,75232.10609
01-08-2023 13:02,28868,28875.01,28864,28875,19.21488,554717.8755,573,15.54457,448762.084
01-08-2023 13:01,28875.02,28875.02,28866.24,28868,16.13199,465715.7153,533,8.00831,231179.7441
01-08-2023 13:00,28878.57,28878.57,28875.01,28875.01,10.37775,299663.938,363,2.97515,85907.81339
01-08-2023 12:59,28878.56,28878.57,28878.56,28878.57,5.77749,166845.6,178,0.84098,24286.2998
01-08-2023 12:58,28879.34,28879.35,28878.56,28878.57,3.94853,114028.5382,221,0.48895,14120.24093
01-08-2023 12:57,28894.01,28894.01,28879.34,28879.34,13.0232,376202.3515,506,2.20443,63682.88225
01-08-2023 12:56,28899.54,28899.55,28894,28894.01,11.14065,321937.3316,431,2.98289,86191.53467
01-08-2023 12:55,28885.58,28899.55,28885.58,28899.55,12.05269,348238.9427,459,8.59328,248275.1914
01-08-2023 12:54,28873.99,28885.59,28873.99,28885.59,12.98364,374935.3285,481,11.74676,339217.8262
01-08-2023 12:53,28871.37,28874,28871.37,28874,3.5942,103773.0203,268,2.25019,64968.1393
01-08-2023 12:52,28873.99,28874,28871.37,28871.38,17.19466,496468.8059,353,3.74028,107989.1914
01-08-2023 12:51,28870.65,28874,28868.5,28874,14.0831,406584.159,483,8.26026,238477.2591
01-08-2023 12:50,28879.4,28879.4,28870.64,28870.64,19.15695,553212.5801,411,1.08227,31251.66428
01-08-2023 12:49,28880.99,28884.32,28879.39,28879.39,19.58269,565591.6409,461,7.28005,210259.7654
01-08-2023 12:48,28876.34,28881.09,28876.33,28881,12.95574,374130.2316,394,8.2388,237915.7816
01-08-2023 12:47,28882.39,28882.39,28876.33,28876.34,5.37239,155151.5854,322,1.09381,31587.11804
01-08-2023 12:46,28892.48,28892.49,28882.38,28882.39,15.2556,440694.5441,416,1.99347,57585.26631
01-08-2023 12:45,28901.52,28901.81,28892.48,28892.49,17.49966,505713.6997,487,4.37201,126334.3071
01-08-2023 12:44,28892.5,28904,28892.5,28901.52,17.69703,511435.7448,554,12.00572,346948.9085
01-08-2023 12:43,28891.49,28892.51,28890.27,28892.51,18.89131,545800.7405,491,10.27207,296774.1507
01-08-2023 12:42,28890.34,28891.49,28890.34,28891.48,11.05218,319304.3863,340,7.70474,222594.4919
